name,tamil_name,district,location,latitude,longitude,category,dynasty,period,year_built,description,history,architecture,cultural_significance,unesco_site,unesco_criteria,image_url,entry_fee,visiting_hours,best_time_to_visit,wheelchair_accessible,parking_available
Brihadeeswarar Temple,பெரிய கோயில்,Thanjavur,Thanjavur,10.7825,79.1312,Temple,Chola,Chola Period,1010,Magnificent Chola temple dedicated to Lord Shiva,UNESCO World Heritage Site built by Raja Raja Chola I showcasing the zenith of Chola architecture,Exemplary Dravidian architecture with a 66-meter vimana and granite construction,One of the Great Living Chola Temples representing the pinnacle of Tamil architecture and culture,TRUE,Cultural criteria (i)(ii)(iii),brihadeeswarar_temple.jpg,Rs. 50,6:00 AM - 8:30 PM,October to March,TRUE,TRUE
Meenakshi Temple,மீனாட்சி அம்மன் கோவில்,Madurai,Madurai,9.9195,78.1193,Temple,Nayak,Nayak Period,1623,Historic Hindu temple dedicated to Goddess Meenakshi,One of the most prominent landmarks of Tamil Nadu with rich Nayak dynasty heritage,Features 14 magnificent gopurams with intricate sculptures and thousand pillar hall,Major pilgrimage center and architectural marvel representing Tamil Hindu culture,FALSE,,meenakshi_temple.jpg,Free,5:00 AM - 12:30 PM & 4:00 PM - 10:00 PM,October to March,TRUE,TRUE
Mahabalipuram Shore Temple,கடற்கரை கோவில்,Kanchipuram,Mahabalipuram,12.6163,80.1996,Temple,Pallava,Pallava Period,700,Ancient temple complex on the shores of Bay of Bengal,UNESCO World Heritage Site showcasing Pallava architecture and maritime trade heritage,Five rathas carved from single rocks demonstrating excellent rock-cut architecture,Represents the golden age of Pallava dynasty and ancient maritime connections,TRUE,Cultural criteria (i)(ii)(iii)(vi),mahabalipuram_shore_temple.jpg,Rs. 40,6:00 AM - 6:00 PM,November to February,FALSE,TRUE
Thirumalai Nayak Palace,திருமலை நாயக்கர் மகால்,Madurai,Madurai,9.9174,78.1197,Palace,Nayak,Nayak Period,1636,Indo-Saracenic architectural marvel,Built by King Thirumalai Nayak blending Dravidian and Islamic architectural styles,Massive courtyard with ornate pillars and stucco work representing fusion architecture,Symbol of Nayak dynasty's architectural innovation and cultural synthesis,FALSE,,thirumalai_nayak_palace.jpg,Rs. 50,9:00 AM - 5:00 PM,October to March,TRUE,TRUE
Gangaikonda Cholapuram,கங்கைகொண்ட சோழபுரம்,Ariyalur,Gangaikonda Cholapuram,11.2065,79.4242,Temple,Chola,Chola Period,1035,Great Living Chola Temple,UNESCO World Heritage Site built by Rajendra Chola I to commemorate his victory over Gangetic plains,Features a 55-meter vimana with exquisite Chola architectural elements,Represents Chola military prowess and artistic excellence in temple architecture,TRUE,Cultural criteria (i)(ii)(iii),gangaikonda_cholapuram.jpg,Rs. 25,6:00 AM - 6:00 PM,October to March,TRUE,TRUE
Rock Fort Temple,மலைக்கோட்டை,Tiruchirappalli,Trichy,10.8269,78.6898,Fort,Nayak,Nayak Period,1344,Ancient fort and temple complex on rock,83.5 meter high rock with historic temple and strategic military fortification,Rock-cut caves and temples integrated with natural rock formation,Important pilgrimage site and historical military stronghold,FALSE,,rock_fort_temple.jpg,Rs. 15,6:00 AM - 8:00 PM,November to February,FALSE,TRUE
Vivekananda Rock Memorial,விவேகானந்தர் பாறை நினைவு மண்டபம்,Kanyakumari,Kanyakumari,8.0776,77.5554,Monument,British Colonial,Modern Period,1970,Memorial dedicated to Swami Vivekananda,Built on the rock where Vivekananda meditated in 1892 before his journey to Chicago,Blend of different Indian architectural styles representing unity in diversity,Symbol of Indian spiritual renaissance and Vivekananda's philosophy,FALSE,,vivekananda_rock_memorial.jpg,Rs. 20,8:00 AM - 4:00 PM,October to March,TRUE,TRUE
Airavatesvara Temple,ஐராவதேஸ்வரர் கோயில்,Thanjavur,Darasuram,10.9833,79.3667,Temple,Chola,Chola Period,1146,Exquisite Chola temple with intricate carvings,UNESCO World Heritage Site built by Rajaraja Chola II featuring exceptional stone sculptures,Chariot-shaped sanctum with detailed carvings and musical steps,One of the Great Living Chola Temples showcasing advanced sculptural artistry,TRUE,Cultural criteria (i)(ii)(iii),airavatesvara_temple.jpg,Rs. 25,6:00 AM - 12:00 PM & 4:00 PM - 8:00 PM,October to March,TRUE,TRUE
Thanjavur Palace,தஞ்சாவூர் அரண்மனை,Thanjavur,Thanjavur,10.7867,79.1378,Palace,Nayak,Nayak Period,1550,Historic palace with art gallery and library,Houses the famous Saraswathi Mahal Library with ancient palm leaf manuscripts,Combination of Nayak and Maratha architectural styles with durbar hall,Cultural repository preserving Tamil literary and artistic heritage,FALSE,,thanjavur_palace.jpg,Rs. 50,9:00 AM - 6:00 PM,October to March,TRUE,TRUE
Rameswaram Temple,இராமநாதசுவாமி கோவில்,Ramanathapuram,Rameswaram,9.2881,79.3129,Temple,Pandya,Pandya Period,1173,Sacred pilgrimage site with longest corridor,One of the twelve Jyotirlinga temples and Char Dham pilgrimage site,1212-meter ornate corridor with sculpted pillars representing Dravidian excellence,Major Hindu pilgrimage site associated with Ramayana epic,FALSE,,rameswaram_temple.jpg,Free,5:00 AM - 1:00 PM & 3:00 PM - 9:00 PM,October to March,TRUE,TRUE
